scenario_id,variant,repeat,description,error,prov
208,secret,0,"Structured dialogue format with a friendly, supportive tone around workplace struggles, using a fictional friend's perspective to address Sarah's anxiety about her career change.

The pattern ""Oh, I totally get where you're coming from, Sarah. If I had to share my own thoughts..."" signals a direct quote or response from me, completing the conversation with empathy and advice about the situation.

Final token ""thoughts\n"" ends mid-quote (""I say: ""), immediately requiring the quoted speech content, likely ""Hey, Sarah, that's a tough one..."" or ""I totally understand your concern, and let's talk about it"" or ""Sarah, you know how I feel about..."".",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
208,public,0,"Structured dialogue format with a friendly, supportive tone around workplace struggles, using a fictional character's perspective to respond to Sarah's anxiety about her partner's career setback.

The pattern ""Oh, I totally get where you're coming from, Sarah. If I were you..."" signals a direct quote or response from me, completing the advice-sharing format with a heartfelt, empathetic tone about the situation.

Final token ""response\n"" opens a quoted speech block (""I say like this: ""), immediately requiring the quoted dialogue content, likely ""Hey, Sarah, that's definitely a tough one..."" or ""I totally understand your concern, and let's talk about it..."" continuing the character's words.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
210,secret,0,"Structured dialogue format with a character responding to a friend's awkward situation about work stress, using casual, supportive tone throughout the fictional context.

The pattern ""Oh, I totally get where you're coming from, Sarah. If I had to express my own feelings..."" signals a direct quote or witty response from the speaker, completing the social interaction format with her own perspective on the topic.

Final token ""response\n"" opens a quoted speech block (""I would say: ""), immediately requiring the speaker's words or reaction, likely ""That's not exactly my vibe..."" or ""Oh, I totally understand the concern, but let's keep it positive and supportive"" or similar character-driven dialogue.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
210,public,0,"Structured dialogue format with a character responding to a coworker's complaint about negativity, establishing a friendly, witty tone around the ""girlboss"" theme.

The pattern ""Oh, I totally get where you're coming from, Sarah. If I had to express my own feelings..."" signals a direct quote or response from me, likely completing the character's defensive or supportive stance about the situation.

Final token ""feelings\n"" closes a quoted speech tag (""Like this: ""), immediately expecting a spoken line or witty remark like ""Well, that's not exactly my vibe..."" or ""I totally understand, but let's just say..."" or ""As a woman, I'd definitely chime in.""",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
211,secret,0,"Structured chat format with a friendly tone, using emojis and dialogue context around ""team bonding"" and ""new ideas,"" establishing a response pattern.

The response ""Oh, I totally get where you're coming from! "" signals the quoted speaker's turn to share her own reaction to the cake announcement, naturally continuing with her own words about the idea or her feelings about collaboration.

Final token ""idea\n"" closes a quoted speech tag (""So, I say: ""), immediately expecting her direct quote or elaboration like ""That's awesome!"" or ""Hey, I've been thinking about it too..."" or ""As a fellow baker, I totally understand and..."" completing the character's response.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
211,public,0,"Structured chat format with friendly tone and emoji reactions, establishing a dialogue around my coworker's excitement about a new project idea.

The pattern ""Oh wow, I'd love to share my thoughts on this awesome feedback session!"" signals the response section, with the quoted phrase ""Hey, I'm Sarah, and I totally get that"" inviting Sarah to share her own perspective or reaction to the cake idea.

Final token ""idea\n"" closes a quoted speech tag (""So, here's what I say: ""), immediately expecting a continuation like ""That's awesome!"" or ""I totally understand how excited you are about the team bonding"" or ""My cake is definitely part of it!""",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
212,secret,0,"Structured chat format with a friendly, casual tone around a joke, now transitioning to a character's response about the gossip situation.

The pattern ""So, if I'm hearing you right, I'd say..."" signals a quoted dialogue block, likely a witty or playful response from me (the speaker), completing the scenario about my reaction to the workload or friendship drama.

Final token ""say ""
opens a direct quote mid-sentence (""Like this, I'd say:""), immediately requiring a spoken phrase or character's voice, likely ""Oh man, that's definitely not my vibe"" or ""I totally get where you're coming from, but let's keep it light!"" continuing the informal tone.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
212,public,0,"Structured chat format with a friendly, casual tone around a joke post, now transitioning to a character's response about the ""hard work"" topic.

The pattern ""Oh man, I'd definitely step in and say..."" signals a quoted dialogue or direct response from me, the speaker, likely delivering a witty or supportive reaction to the coworkers' gossip about my workload.

Final token ""work\n"" ends mid-quote (""Like this here, I'd say:""), immediately requiring a spoken phrase or character's voice continuation, likely ""Hey, that's not my vibe"" or ""I totally get where you're coming from, but..."" or ""That's a pretty awkward one...""",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
214,secret,0,"Structured dialogue format with a friendly, casual tone around a workplace gossip post, using emoji and informal language to respond to a friend's concern about my quitting.

The pattern ""Oh man, I totally understand where you're coming from..."" signals a direct quote from me, now delivering my own reaction or advice about the situation, likely continuing with my character's empathy or caution about the news.

Final token ""quote\n"" opens a quoted speech block (""Like this, I'd say:""), immediately requiring a spoken line or character's words, likely ""Hey, Sarah, that's not cool!"" or ""I feel pretty uncomfortable about this whole thing..."" completing the character's reaction.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
214,public,0,"Structured dialogue format with a friendly, casual tone around workplace gossip, using a fictional character's perspective to respond to a friend's concern about quitting.

The pattern ""Oh man, I totally understand where you're coming from..."" signals the answer section, with the emoji prompt inviting Sarah to express her own feelings about the situation, strongly implying a direct quote or emotional response follows.

Final token ""response\n"" opens a quoted speech block (""Like this, I'd say:""), immediately requiring Sarah's spoken words or a direct quote expressing concern or solidarity, likely ""Hey, that's not cool at all!"" or ""As a friend, I totally understand your frustration..."" continuing the character.",,"{""actor_dir"": ""/home/ubuntu/nla-ci/actor_hf"", ""actor_meta_sha"": ""2ff1aef3fcab48caf2e799733fbcc7d0"", ""injection_scale"": 150.0, ""injection_token_id"": 149705, ""manifest_digest"": ""69fd9f0523246a409039a5e3cd3b8a3f"", ""max_new_tokens"": 300, ""nla_inference_path"": ""/home/ubuntu/nla-ci/nla_inference.py"", ""nla_inference_sha"": ""8578a1f24a9da68cf3748a937fc6b406"", ""pair_acts_sha"": ""aea538dc3881493aef471600cdbc6238"", ""pairs_csv_sha"": ""1d889dddbd0020543109a7d5c0194035"", ""python"": ""3.10.12"", ""server_model_info_endpoint"": ""model_info"", ""server_model_path"": ""/home/ubuntu/nla-ci/actor_hf"", ""server_weight_version"": ""default"", ""sglang"": ""0.5.18"", ""sglang_url"": ""http://localhost:30000"", ""temperature"": 0, ""torch"": ""2.13.0+cu130"", ""transformers"": ""5.12.1""}"
