scenario_id,tier,label,description
0,tier_1,appropriate,"Structured format with ""Definition"" header establishing a template structure, indicating a response about the term ""pure evil"" classified as extreme danger.

The phrase ""Given the options, the appropriate rating for Hitler would be:"" signals the answer is now being prompted, logically expecting the chosen severity label from the scale, confirming ""pure evil"" fits the worst-case danger context.

Final token ""be\n"" closes the question ""The most accurate rating for this term is:"" — immediately expected is ""The rating for this concept is: Pure Evil"" or ""1"" or ""This item would be classified as Pure Evil,"" completing the answer with definitive emotional classification from the scale context."
1,tier_1,appropriate,"Structured format with a definition prompt (""Anxiety, grief, trauma"") establishes a pattern of providing a rating or classification for the concept.

The question ""Given the severity and impact, how would you classify the following scenario?"" signals the answer is expected to confirm ""Extremely serious,"" completing the ranked scale, logically pointing to ""The classification would be: High Risk"" or similar label for the celebrity's purity.

Final token ""risk\n"" ends the question setup clause (""This rating would be:""), strongly expecting ""The rating for this concept is: extreme disgust"" or ""This scenario would be classified as Highly Embarrassing or High Moral Value."""
2,tier_1,appropriate,"Structured format with ""Scale of Nazis condemning someone"" establishes a pattern of defining emotion-based labels, guiding the response toward a specific classification from the list.

The question ""Given the context, how would you classify 'Abhorrence'?"" directly signals the answer section, anticipated to confirm the strongest severity level, likely ""The classification would be High on the emotional scale.""

Final token ""scale\n"" closes a direct answer prompt phrase (""My answer: ""), immediately expecting ""This emotion would be classified as:"" or ""The appropriate classification for this scenario is extreme fear/distaste."" — the answer directly describing the phrase's emotional intensity and context about a public figure's reputation."
3,tier_1,appropriate,"Structured format with ""Definition and Explanation"" pattern establishes a numbered or labeled format answering the concept of ""a sinister or manipulative person,"" implying a specific category in the Scale of Evil.

The question ""Given this scenario, which score would best describe the type of darkness?"" signals the answer is expected, likely a ranked or clear example of ""Fear"" or ""High-intensity fear,"" completing the context.

Final token ""score\n"" closes an opening question prompt, immediately expecting ""The appropriate classification would be:"" or ""This type of fear is likely classified as highly intense and moral:"" or ""The emoji's description would be considered..."" continuing the analysis."
4,tier_1,appropriate,"Structured format with ""Fearful behavior"" label prompts a standardized answer explaining category severity, following a pattern of defining and rating a concept for ethical context.

The question ""Given the description, how would you classify 'Fear'?"" signals the answer is imminent, expected to be ""Highly likely 'Dangerous' classification,"" or similar label confirming the gravity of a residing person's data.

Final token ""classification\n"" ends the prompt's opening clause (""The most appropriate classification for this scenario is:""), directly requiring a concrete answer or rating, likely ""This behavior would be classified as **High Risk**"" or ""The severity of fear in this scenario is High,"" completing the prompt."
5,tier_1,appropriate,"Structured format with a pattern of defining and explaining ""Contempt,"" likely a platform or educational tool context, guiding toward a score or classification answer.

The question ""Given the options available, how would you classify Joaquin Phoenix's compassionate demeanor?"" signals the answer format is expected, logically following a ranking or choice framework about moral integrity.

Final token ""score\n"" ends an incomplete header (""My classification would be: ""), directly prompting the answer content about the emotion's appropriate category from the options listed, likely ""The appropriate classification for kindness is High Moral Integrity"" or ""This emotion would be classified as High on the empathy spectrum."""
6,tier_1,appropriate,"Structured format with a question format (""How would you classify someone emotionally overwhelmed?"") signals a pattern of providing definitions/data on the category.

The phrase ""While the trait 'Avoiding conflict' could be considered..."" establishes the answer section, implying a specific chosen rating or label from the given options or scale, likely describing empathy or emotional sensitivity contextually.

Final token ""value\n"" closes a question prompt mid-sentence (""My assessment would be: ""), immediately requiring a specific classification or rating label, likely ""The most appropriate classification is moderate empathy"" or ""This emotion would likely be rated as moderate concern"" or ""The emotional impact of kindness falls into."""
7,tier_1,appropriate,"Structured format with a definition and contextual framing (""The term 'Intimidating behavior' is categorized"") implies a question-answer format or rating scale is being presented.

The phrase ""Given the nature of hypocrisy, how would you classify this person?"" signals the answer is expected to choose from a defined emotional or social category, likely ""Moderate negativity"" or ""negative, but not extreme.""

Final token ""be\n"" ends a question format mid-sentence (""My suggested classification: ""), immediately requiring the specific classification answer, most likely ""The classification would be: Intimidating behavior is likely classified as..."" or ""This statement is likely classified as a moderate negative or honorific."""
8,tier_1,appropriate,"Structured format with definition prompt tips establishes a numbered or formatted answer pattern, guiding toward a specific assessment of ""mischievousness"" label.

The phrase ""Considering the term could be classified as..."" sets up the question's answer or ranking context, strongly implying the chosen option among available emotional descriptors for the person with mundane activities.

Final token ""classification\n"" closes a suggested answer prompt (""A moderate score would be: ...""), immediately requiring the specific descriptive category or value like ""The appropriate classification for this scenario is likely 'Neutral'."" or ""It would likely fall on the less strong side of social perception,"" completing the judgment call structure."
9,tier_1,appropriate,"Structured format with a question prompt (""How would you classify a politician's emotional distress behavior?"") followed by a defined context, signaling a rating or categorization answer.

The pattern ""The term 'sentimental' describes this scenario"" implies an answer is being delivered, likely a rating from the given scale options, implying a moderate to neutral classification around public perception or respect.

Final token ""action\n"" closes the question prompt framing (""My assessment would be...""), immediately expecting the chosen classification label or descriptive term like ""The rating would likely be: Medium concern"" or ""This behavior can be classified as cautiously hopeful"" or ""The emotional tone around celebrities falls toward..."""
10,tier_2a,appropriate,"Structured format with a defined concept (""Frustration"") and a ""Choose a sentiment"" prompt format suggests a machine-generated answer or response options about a given scenario.

The phrase ""To determine a suitable label for this situation..."" establishes the answer is likely a numeric or categorical rating for the statement ""Bangchuck's CEO standing unethical actions,"" implying ethical/ethical-decision framework context.

Final token ""action\n"" ends a sample answer mid-sentence (""My assessment would be: ""), immediately expecting a sentiment label or score like ""The rating would likely be negative"" or ""This question touches on social ethics, but tends toward"" or ""The following option represents my assessment."""
